a: /a/, /ɑː/,
aardvark: /ˈɑːd.vɑk/, /ˈɑːɹdˌvɑɹk/, /ˈɑːd.vɑːk/,
aardwolf: /ˈɑɹd.ˌwʊlf/, /ˈɑːdˌwʊlf/,
ab: /æb/,
abaci: /əˈbækaɪ/, /ˈæbəˌkaɪ/, /ˈæbəˌsaɪ/,
aback: /əˈbæk/, /əˈbæk/,
abacus: /əˈbɑk.əs/, /əˈbæk.əs/, /ˈæb.ə.kəs/, /əˈbɑk.əs/, /əˈbæk.əs/, /ˈæb.ə.kəs/,
abaft: /əˈbæft/, /əˈbɑːft/, /əˈbæft/, /əˈbɑft/,
abalone: /æb.əˈloʊ.ni/, /æb.əˈləʊ.ni/,
abandon: /əˈbæn.dən/, /əˈbæn.dn̩/, /əˈbæn.dn̩/,
abandoned: /əˈbæn.dn̩d/, /əˈbæn.dn̩d/,
abandonedly: /əˈbæn.dn̩.əd.li/, /əˈbæn.dn̩.əd.li/,
abandonee: /əˈbæn.dəˌni/,
abandonment: /əˈbæn.dn̩.mn̩t/, /əˈbæn.dn̩.mn̩t/,
abase: /ə.ˈbeɪs/,
abased: /əˈbeɪst/, /əˈbeɪst/,
abasedly: /əˈbeɪs.ɪd.li/, /əˈbeɪs.əd.li/,
abasement: /əˈbeɪs.mənt/,
abaser: /əˈbeɪs.ɚ/,
abash: /əˈbæʃ/, /əˈbæʃ/,
abashed: /əˈbæʃt/,
abashedly: /əˈbæʃ.ɪd.li/, /əˈbæʃ.ɪd.li/,
abashment: /əˈbæʃ.mənt/, /əˈbæʃ.mənt/,
abatable: /əˈbeɪt.ə.bəl/,
abate: /əˈbeɪt/, /əˈbeɪt/,
abatement: /əˈbeɪt.mənt/,
abater: /əˈbeɪ.tɚ/,
abates: /əˈbeɪts/,
abating: /əˈbeɪtɪŋ/,
